Job Title,Company,Location,Salary,Skills,Experience,Posted Date
Frontend Developer,Tech Company 220,Ha Noi,27-58 millions,"VueJS, Nuxt",Senior,2025-02-17
Backend Developer,Tech Company 388,Ho Chi Minh,66-114 millions,"Java, Spring Boot",Manager,2024-11-25
Backend Developer,Tech Company 67,Ho Chi Minh,26-59 millions,"Java, Spring Boot",Senior,2024-11-15
AI/ML Engineer,Tech Company 234,Ha Noi,7-16 millions,"Python, TensorFlow, CV",Fresher,2024-10-24
DevOps Engineer,Tech Company 462,Ha Noi,29-59 millions,"Azure, CI/CD, Terraform",Senior,2024-12-16
Fullstack Developer,Tech Company 109,Ha Noi,14-28 millions,"Java, Angular, SQL",Junior,2024-05-14
Fullstack Developer,Tech Company 193,Ha Noi,26-58 millions,"React, Node.js, Mongo",Senior,2024-02-08
Backend Developer,Tech Company 25,Ho Chi Minh,,"Python, Django",Lead,2024-01-21
Mobile Developer,Tech Company 106,Ho Chi Minh,27-57 millions,"Flutter, Dart",Senior,2024-06-05
AI/ML Engineer,Tech Company 319,Ha Noi,28-58 millions,"Python, NLP, HuggingFace",Senior,2024-10-03
Frontend Developer,Tech Company 102,Ho Chi Minh,26-58 millions,"ReactJS, TypeScript",Senior,2025-05-24
Data Scientist,Tech Company 281,Ha Noi,28-56 millions,"SQL, Tableau, Python",Senior,2024-02-10
Tester/QA,Tech Company 465,Ho Chi Minh,15-27 millions,"Java, Appium",Junior,2024-04-01
Tester/QA,Tech Company 371,Ha Noi,10-20 millions,"Manual Testing, SQL",Fresher,2024-03-17
Data Scientist,Tech Company 26,Da Nang,24-46 millions,"SQL, Tableau, Python",Senior,2025-04-20
Backend Developer,Tech Company 379,Ho Chi Minh,8-19 millions,"Go, Microservices",Fresher,2025-03-12
Backend Developer,Tech Company 169,Da Nang,8-16 millions,"Python, Django",Fresher,2024-06-23
AI/ML Engineer,Tech Company 59,Ho Chi Minh,14-31 millions,"C++, CUDA, Computer Vision",Junior,2024-07-06
AI/ML Engineer,Tech Company 333,Remote,16-28 millions,"Python, NLP, HuggingFace",Junior,2025-03-07
Fullstack Developer,Tech Company 54,Ho Chi Minh,44-81 millions,"Python, VueJS, Docker",Lead,2024-06-12
Tester/QA,Tech Company 15,Ha Noi,16-31 millions,"Manual Testing, SQL",Junior,2025-09-18
Fullstack Developer,Tech Company 226,Da Nang,37-63 millions,"Java, Angular, SQL",Lead,2025-02-25
DevOps Engineer,Tech Company 371,Ho Chi Minh,9-19 millions,"AWS, Docker, K8s",Fresher,2025-08-13
DevOps Engineer,Tech Company 222,Remote,26-56 millions,"Linux, Jenkins, Ansible",Senior,2024-04-07
DevOps Engineer,Tech Company 457,Ho Chi Minh,28-56 millions,"Linux, Jenkins, Ansible",Senior,2025-07-25
Fullstack Developer,Tech Company 39,Ho Chi Minh,67-114 millions,"Python, VueJS, Docker",Manager,2024-06-18
DevOps Engineer,Tech Company 194,Ho Chi Minh,25-56 millions,"Azure, CI/CD, Terraform",Senior,2025-10-20
Tester/QA,Tech Company 229,Ho Chi Minh,17-29 millions,"Automation, Cypress",Junior,2025-05-25
Backend Developer,Tech Company 1,Remote,15-26 millions,"Python, Django",Junior,2025-07-16
AI/ML Engineer,Tech Company 487,Ha Noi,27-58 millions,"C++, CUDA, Computer Vision",Senior,2025-04-12
Data Scientist,Tech Company 243,,15-31 millions,"SQL, Tableau, Python",Junior,2025-09-06
Tester/QA,Tech Company 175,,25-58 millions,"Selenium, Python",Senior,2024-01-03
AI/ML Engineer,Tech Company 460,Ha Noi,16-31 millions,"C++, CUDA, Computer Vision",Junior,2024-02-16
Mobile Developer,Tech Company 477,Ho Chi Minh,15-28 millions,"Flutter, Dart",Junior,2024-05-03
Data Scientist,Tech Company 475,Ho Chi Minh,43-80 millions,"Python, PyTorch, AWS",Lead,2024-02-17
Frontend Developer,Tech Company 69,Ha Noi,27-57 millions,"HTML, CSS, JS",Senior,2025-05-31
Backend Developer,Tech Company 400,Ho Chi Minh,,"Node.js, Express",Manager,2025-06-04
Fullstack Developer,Tech Company 308,Ho Chi Minh,45-77 millions,"Python, VueJS, Docker",Lead,2025-11-04
Mobile Developer,Tech Company 141,Ho Chi Minh,29-59 millions,"Kotlin, Android",Senior,2024-09-11
AI/ML Engineer,Tech Company 359,Ho Chi Minh,17-28 millions,"Python, NLP, HuggingFace",Junior,2025-09-08
DevOps Engineer,Tech Company 103,Ha Noi,44-79 millions,"Linux, Jenkins, Ansible",Lead,2024-08-10
DevOps Engineer,Tech Company 258,Ha Noi,15-31 millions,"Linux, Jenkins, Ansible",Junior,2024-07-01
Frontend Developer,Tech Company 364,Ha Noi,27-57 millions,"Angular, RxJS",Senior,2025-11-14
AI/ML Engineer,Tech Company 196,Ha Noi,17-30 millions,"Python, NLP, HuggingFace",Junior,2024-01-26
Data Scientist,Tech Company 350,Ha Noi,9-17 millions,"SQL, Tableau, Python",Fresher,2024-10-20
AI/ML Engineer,Tech Company 53,Ha Noi,17-27 millions,"Python, TensorFlow, CV",Junior,2025-04-08
Data Scientist,Tech Company 402,Ha Noi,28-56 millions,"Python, PyTorch, AWS",Senior,2025-06-07
Backend Developer,Tech Company 161,Ha Noi,27-59 millions,"Node.js, Express",Senior,2025-12-02
AI/ML Engineer,Tech Company 425,Ho Chi Minh,66-113 millions,"Python, TensorFlow, CV",Manager,2025-03-29
DevOps Engineer,Tech Company 151,Ha Noi,16-30 millions,"Linux, Jenkins, Ansible",Junior,2024-07-17
Frontend Developer,Tech Company 194,Remote,17-29 millions,"VueJS, Nuxt",Junior,2024-05-02
AI/ML Engineer,Tech Company 170,Ho Chi Minh,7-20 millions,"Python, TensorFlow, CV",Fresher,2024-01-06
Backend Developer,Tech Company 316,Da Nang,15-25 millions,"Java, Spring Boot",Junior,2025-10-02
DevOps Engineer,Tech Company 490,Ho Chi Minh,28-56 millions,"AWS, Docker, K8s",Senior,2024-08-13
Fullstack Developer,Tech Company 114,Ho Chi Minh,16-29 millions,"Java, Angular, SQL",Junior,2024-12-23
DevOps Engineer,Tech Company 272,Ha Noi,43-81 millions,"Azure, CI/CD, Terraform",Lead,2025-09-25
Backend Developer,Tech Company 315,,17-29 millions,"Python, Django",Junior,2025-10-19
Backend Developer,Tech Company 198,Ho Chi Minh,43-80 millions,"Go, Microservices",Lead,2024-04-26
Backend Developer,Tech Company 23,Ha Noi,16-30 millions,"Go, Microservices",Junior,2025-05-13
DevOps Engineer,Tech Company 274,Ha Noi,14-27 millions,"Linux, Jenkins, Ansible",Junior,2025-07-04
Data Scientist,Tech Company 425,Ho Chi Minh,8-17 millions,"Python, PyTorch, AWS",Fresher,2025-07-04
Mobile Developer,Tech Company 368,Remote,27-53 millions,"Flutter, Dart",Senior,2025-04-15
Backend Developer,Tech Company 421,Ho Chi Minh,17-30 millions,"Java, Spring Boot",Junior,2025-08-11
Mobile Developer,Tech Company 200,Ho Chi Minh,17-29 millions,"Kotlin, Android",Junior,2024-01-18
Frontend Developer,Tech Company 55,Ha Noi,28-55 millions,"ReactJS, TypeScript",Senior,2025-05-29
Frontend Developer,Tech Company 421,Ha Noi,17-29 millions,"Angular, RxJS",Junior,2025-02-08
Data Scientist,Tech Company 152,Ha Noi,28-58 millions,"Python, Pandas, Scikit-learn",Senior,2025-07-12
DevOps Engineer,Tech Company 22,Ho Chi Minh,66-112 millions,"AWS, Docker, K8s",Manager,2024-05-06
Frontend Developer,Tech Company 109,Ha Noi,7-20 millions,"Angular, RxJS",Fresher,2024-12-18
Fullstack Developer,Tech Company 100,Ha Noi,15-30 millions,"React, Node.js, Mongo",Junior,2024-09-15
Backend Developer,Tech Company 35,Ha Noi,9-16 millions,"Node.js, Express",Fresher,2025-11-18
Tester/QA,Tech Company 52,Ho Chi Minh,15-30 millions,"Java, Appium",Junior,2024-08-28
Data Scientist,Tech Company 157,Ho Chi Minh,16-29 millions,"SQL, Tableau, Python",Junior,2025-11-06
DevOps Engineer,Tech Company 127,Ho Chi Minh,29-55 millions,"Azure, CI/CD, Terraform",Senior,2024-11-16
Mobile Developer,Tech Company 450,Ha Noi,28-55 millions,"Swift, iOS",Senior,2024-12-05
AI/ML Engineer,Tech Company 42,Ho Chi Minh,16-28 millions,"Python, NLP, HuggingFace",Junior,2025-09-13
Fullstack Developer,Tech Company 40,Da Nang,21-48 millions,"Python, VueJS, Docker",Senior,2025-10-03
Backend Developer,Tech Company 283,Da Nang,23-46 millions,"Node.js, Express",Senior,2024-02-07
Tester/QA,Tech Company 376,Da Nang,12-23 millions,"Manual Testing, SQL",Junior,2025-08-26
Frontend Developer,Tech Company 435,Ho Chi Minh,43-77 millions,"HTML, CSS, JS",Lead,2024-09-01
Fullstack Developer,Tech Company 486,Remote,61-105 millions,"Python, VueJS, Docker",Manager,2025-08-02
Fullstack Developer,Tech Company 113,Da Nang,23-49 millions,"Python, VueJS, Docker",Senior,2024-02-11
AI/ML Engineer,Tech Company 465,Ho Chi Minh,26-58 millions,"Python, NLP, HuggingFace",Senior,2025-06-14
Tester/QA,Tech Company 361,Ho Chi Minh,25-58 millions,"Selenium, Python",Senior,2024-04-15
AI/ML Engineer,Tech Company 193,Ha Noi,65-112 millions,"C++, CUDA, Computer Vision",Manager,2024-06-27
Frontend Developer,Tech Company 208,Ho Chi Minh,27-59 millions,"Angular, RxJS",Senior,2025-06-12
Tester/QA,Tech Company 226,Da Nang,15-22 millions,"Automation, Cypress",Junior,2024-05-22
AI/ML Engineer,Tech Company 368,Ho Chi Minh,15-28 millions,"Python, TensorFlow, CV",Junior,2025-09-08
Mobile Developer,Tech Company 246,Ha Noi,28-57 millions,"Swift, iOS",Senior,2025-05-05
Mobile Developer,Tech Company 83,Ho Chi Minh,15-28 millions,"Flutter, Dart",Junior,2025-08-29
Fullstack Developer,Tech Company 491,Ha Noi,7-21 millions,"React, Node.js, Mongo",Fresher,2025-06-13
Backend Developer,Tech Company 242,Remote,17-27 millions,"Go, Microservices",Junior,2025-09-13
Mobile Developer,Tech Company 320,Ho Chi Minh,45-81 millions,React Native,Lead,2024-07-05
DevOps Engineer,Tech Company 198,Ho Chi Minh,27-55 millions,"Azure, CI/CD, Terraform",Senior,2025-01-22
Mobile Developer,Tech Company 308,Ho Chi Minh,9-17 millions,React Native,Fresher,2025-09-21
Frontend Developer,Tech Company 277,Ha Noi,8-17 millions,"ReactJS, TypeScript",Fresher,2025-09-09
Mobile Developer,Tech Company 220,Da Nang,21-45 millions,"Kotlin, Android",Senior,2025-06-26
Mobile Developer,Tech Company 295,Ha Noi,16-31 millions,"Swift, iOS",Junior,2025-12-14
Tester/QA,Tech Company 449,Ho Chi Minh,10-16 millions,"Manual Testing, SQL",Fresher,2025-09-04
Backend Developer,Tech Company 193,Ho Chi Minh,27-55 millions,"Python, Django",Senior,2024-01-08
DevOps Engineer,Tech Company 300,Ha Noi,26-55 millions,"Azure, CI/CD, Terraform",Senior,2025-10-29
Mobile Developer,Tech Company 387,Da Nang,,"Swift, iOS",Junior,2025-02-10
Tester/QA,Tech Company 158,Ha Noi,15-30 millions,"Manual Testing, SQL",Junior,2024-09-16
Mobile Developer,Tech Company 229,Ha Noi,28-58 millions,React Native,Senior,2024-08-23
Frontend Developer,Tech Company 315,Da Nang,22-48 millions,"VueJS, Nuxt",Senior,2025-07-17
Fullstack Developer,Tech Company 422,Ha Noi,29-55 millions,"Java, Angular, SQL",Senior,2024-04-03
Mobile Developer,Tech Company 312,Da Nang,5-14 millions,"Flutter, Dart",Fresher,2024-03-22
Mobile Developer,Tech Company 328,Ho Chi Minh,9-19 millions,"Swift, iOS",Fresher,2024-06-28
AI/ML Engineer,Tech Company 358,Ho Chi Minh,14-30 millions,"Python, TensorFlow, CV",Junior,2025-06-12
Backend Developer,Tech Company 45,Ho Chi Minh,15-27 millions,"Go, Microservices",Junior,2024-06-10
DevOps Engineer,Tech Company 8,Ha Noi,65-112 millions,"Linux, Jenkins, Ansible",Manager,2025-06-14
Frontend Developer,Tech Company 179,Ho Chi Minh,28-57 millions,"Angular, RxJS",Senior,2025-08-19
Data Scientist,Tech Company 295,Ha Noi,18-29 millions,"Python, PyTorch, AWS",Junior,2025-02-17
Frontend Developer,Tech Company 412,Ho Chi Minh,,"ReactJS, TypeScript",Fresher,2024-04-29
AI/ML Engineer,Tech Company 395,Ho Chi Minh,,"C++, CUDA, Computer Vision",Senior,2025-05-10
Tester/QA,Tech Company 60,Ho Chi Minh,18-31 millions,"Automation, Cypress",Junior,2025-05-08
Data Scientist,Tech Company 490,Ho Chi Minh,17-31 millions,"Python, PyTorch, AWS",Junior,2025-02-26
AI/ML Engineer,Tech Company 39,Ha Noi,15-29 millions,"Python, TensorFlow, CV",Junior,2024-12-16
DevOps Engineer,Tech Company 485,Ho Chi Minh,26-57 millions,"Azure, CI/CD, Terraform",Senior,2024-07-06
Data Scientist,Tech Company 447,Da Nang,23-46 millions,"SQL, Tableau, Python",Senior,2024-09-04
Data Scientist,Tech Company 472,Ho Chi Minh,15-31 millions,"Python, PyTorch, AWS",Junior,2024-05-02
Tester/QA,Tech Company 435,Remote,9-18 millions,"Selenium, Python",Fresher,2024-02-13
Tester/QA,Tech Company 144,Ha Noi,16-32 millions,"Java, Appium",Junior,2025-06-07
Fullstack Developer,Tech Company 17,Ha Noi,16-29 millions,"React, Node.js, Mongo",Junior,2025-07-07
Fullstack Developer,Tech Company 162,Ho Chi Minh,29-58 millions,"Java, Angular, SQL",Senior,2025-04-16
Data Scientist,Tech Company 442,Ho Chi Minh,27-56 millions,"SQL, Tableau, Python",Senior,2025-09-19
Data Scientist,Tech Company 95,Ha Noi,16-30 millions,"SQL, Tableau, Python",Junior,2025-01-09
DevOps Engineer,Tech Company 293,,17-28 millions,"Azure, CI/CD, Terraform",Junior,2024-07-03
Data Scientist,Tech Company 222,,9-20 millions,"Python, Pandas, Scikit-learn",Fresher,2025-07-22
Fullstack Developer,Tech Company 69,Ho Chi Minh,45-77 millions,"Java, Angular, SQL",Lead,2025-05-26
DevOps Engineer,Tech Company 25,Ha Noi,65-112 millions,"Azure, CI/CD, Terraform",Manager,2025-08-04
Backend Developer,Tech Company 50,Ha Noi,17-29 millions,"Java, Spring Boot",Junior,2025-10-06
DevOps Engineer,Tech Company 177,Ho Chi Minh,16-32 millions,"Azure, CI/CD, Terraform",Junior,2024-09-20
Data Scientist,Tech Company 400,Ho Chi Minh,9-19 millions,"Python, PyTorch, AWS",Fresher,2024-06-27
Tester/QA,Tech Company 238,,18-29 millions,"Automation, Cypress",Junior,2024-10-20
Fullstack Developer,Tech Company 314,Ho Chi Minh,28-56 millions,"Python, VueJS, Docker",Senior,2025-10-08
Frontend Developer,Tech Company 335,Ha Noi,26-56 millions,"ReactJS, TypeScript",Senior,2024-11-20
Mobile Developer,Tech Company 383,Ho Chi Minh,18-31 millions,"Swift, iOS",Junior,2025-01-06
Mobile Developer,Tech Company 339,Remote,24-52 millions,React Native,Senior,2024-08-28
Frontend Developer,Tech Company 480,Ha Noi,15-28 millions,"VueJS, Nuxt",Junior,2024-03-06
Backend Developer,Tech Company 135,Ha Noi,44-81 millions,"Node.js, Express",Lead,2024-04-16
Mobile Developer,Tech Company 321,Ho Chi Minh,26-58 millions,"Swift, iOS",Senior,2025-03-29
Fullstack Developer,Tech Company 443,Ha Noi,6-18 millions,"React, Node.js, Mongo",Fresher,2024-11-29
AI/ML Engineer,Tech Company 277,Remote,15-31 millions,"C++, CUDA, Computer Vision",Junior,2025-12-15
Mobile Developer,Tech Company 413,Ha Noi,18-29 millions,"Swift, iOS",Junior,2024-08-20
Mobile Developer,Tech Company 418,,7-16 millions,"Swift, iOS",Fresher,2025-06-19
AI/ML Engineer,Tech Company 485,Ho Chi Minh,27-58 millions,"Python, NLP, HuggingFace",Senior,2025-05-18
Mobile Developer,Tech Company 192,Ho Chi Minh,27-58 millions,"Swift, iOS",Senior,2025-07-15
Mobile Developer,Tech Company 200,Da Nang,12-26 millions,"Kotlin, Android",Junior,2025-10-23
Frontend Developer,Tech Company 414,Ho Chi Minh,28-57 millions,"HTML, CSS, JS",Senior,2025-09-19
AI/ML Engineer,Tech Company 149,Ho Chi Minh,26-55 millions,"Python, NLP, HuggingFace",Senior,2024-05-19
Tester/QA,Tech Company 10,Ha Noi,9-18 millions,"Java, Appium",Fresher,2024-11-24
Backend Developer,Tech Company 367,Remote,17-27 millions,"Java, Spring Boot",Junior,2024-05-08
Frontend Developer,Tech Company 160,Ho Chi Minh,14-28 millions,"VueJS, Nuxt",Junior,2025-03-06
DevOps Engineer,Tech Company 432,Ha Noi,28-55 millions,"Azure, CI/CD, Terraform",Senior,2024-03-23
AI/ML Engineer,Tech Company 459,Ho Chi Minh,25-57 millions,"Python, NLP, HuggingFace",Senior,2024-07-15
Backend Developer,Tech Company 395,Ha Noi,29-58 millions,"Python, Django",Senior,2025-01-29
Backend Developer,Tech Company 341,Ho Chi Minh,,"Java, Spring Boot",Manager,2025-06-17
AI/ML Engineer,Tech Company 267,Ha Noi,64-113 millions,"Python, NLP, HuggingFace",Manager,2025-07-16
AI/ML Engineer,Tech Company 112,Ha Noi,8-16 millions,"Python, TensorFlow, CV",Fresher,2025-11-13
Mobile Developer,Tech Company 62,Ho Chi Minh,64-113 millions,"Swift, iOS",Manager,2025-08-21
Backend Developer,Tech Company 128,Ho Chi Minh,17-28 millions,"Node.js, Express",Junior,2024-04-01
DevOps Engineer,Tech Company 360,,14-29 millions,"Linux, Jenkins, Ansible",Junior,2024-06-06
Tester/QA,Tech Company 388,Ho Chi Minh,26-57 millions,"Manual Testing, SQL",Senior,2025-10-22
Data Scientist,Tech Company 129,Da Nang,14-24 millions,"Python, Pandas, Scikit-learn",Junior,2024-05-17
Tester/QA,Tech Company 96,Ha Noi,44-79 millions,"Java, Appium",Lead,2025-08-03
Tester/QA,Tech Company 83,Ho Chi Minh,28-57 millions,"Java, Appium",Senior,2025-07-21
AI/ML Engineer,Tech Company 260,Ho Chi Minh,8-18 millions,"Python, NLP, HuggingFace",Fresher,2025-10-15
Backend Developer,Tech Company 338,Ho Chi Minh,17-28 millions,"Go, Microservices",Junior,2024-03-05
Data Scientist,Tech Company 314,Ha Noi,66-113 millions,"Python, PyTorch, AWS",Manager,2024-06-06
DevOps Engineer,Tech Company 428,Ho Chi Minh,14-30 millions,"AWS, Docker, K8s",Junior,2024-02-14
Backend Developer,Tech Company 293,Ho Chi Minh,42-77 millions,"Java, Spring Boot",Lead,2024-02-02
Tester/QA,Tech Company 7,Ho Chi Minh,25-56 millions,"Java, Appium",Senior,2024-03-13
Tester/QA,Tech Company 286,Ho Chi Minh,43-80 millions,"Selenium, Python",Lead,2025-01-04
DevOps Engineer,Tech Company 21,Da Nang,20-48 millions,"Linux, Jenkins, Ansible",Senior,2025-06-25
Frontend Developer,Tech Company 273,Ha Noi,29-55 millions,"VueJS, Nuxt",Senior,2024-08-24
Data Scientist,Tech Company 213,Ho Chi Minh,17-28 millions,"Python, PyTorch, AWS",Junior,2025-07-25
DevOps Engineer,Tech Company 86,Ha Noi,27-58 millions,"Linux, Jenkins, Ansible",Senior,2024-04-16
DevOps Engineer,Tech Company 478,Ha Noi,26-59 millions,"Linux, Jenkins, Ansible",Senior,2025-03-29
DevOps Engineer,Tech Company 312,Ho Chi Minh,16-30 millions,"Azure, CI/CD, Terraform",Junior,2024-11-27
Mobile Developer,Tech Company 1,Ha Noi,,"Swift, iOS",Junior,2025-02-10
Backend Developer,Tech Company 114,Remote,28-54 millions,"Java, Spring Boot",Senior,2024-11-03
AI/ML Engineer,Tech Company 80,Ho Chi Minh,16-30 millions,"C++, CUDA, Computer Vision",Junior,2025-08-08
Fullstack Developer,Tech Company 120,Ha Noi,7-20 millions,"React, Node.js, Mongo",Fresher,2024-09-12
Mobile Developer,Tech Company 89,Ho Chi Minh,17-31 millions,React Native,Junior,2025-05-09
Frontend Developer,Tech Company 41,Da Nang,11-26 millions,"Angular, RxJS",Junior,2025-01-25
DevOps Engineer,Tech Company 446,,24-47 millions,"Azure, CI/CD, Terraform",Senior,2024-05-03
Backend Developer,Tech Company 277,Ha Noi,25-57 millions,"Node.js, Express",Senior,2024-11-22
Data Scientist,Tech Company 498,Ho Chi Minh,25-58 millions,"Python, Pandas, Scikit-learn",Senior,2025-02-06
Frontend Developer,Tech Company 68,Ha Noi,16-31 millions,"VueJS, Nuxt",Junior,2024-05-31
Backend Developer,Tech Company 397,Ha Noi,15-29 millions,"Node.js, Express",Junior,2025-03-20
Tester/QA,Tech Company 288,Ha Noi,27-58 millions,"Manual Testing, SQL",Senior,2024-07-19
Data Scientist,Tech Company 351,Ha Noi,25-58 millions,"Python, Pandas, Scikit-learn",Senior,2024-11-27
Mobile Developer,Tech Company 305,Ho Chi Minh,43-77 millions,"Kotlin, Android",Lead,2024-12-18
Fullstack Developer,Tech Company 320,Ha Noi,27-59 millions,"Java, Angular, SQL",Senior,2025-03-28
Data Scientist,Tech Company 58,Ho Chi Minh,9-17 millions,"Python, Pandas, Scikit-learn",Fresher,2024-03-28
Fullstack Developer,Tech Company 157,Ho Chi Minh,25-58 millions,"Java, Angular, SQL",Senior,2024-04-23
Data Scientist,Tech Company 385,Ho Chi Minh,16-28 millions,"Python, PyTorch, AWS",Junior,2025-06-19
Fullstack Developer,Tech Company 464,Ha Noi,17-27 millions,"Python, VueJS, Docker",Junior,2025-08-19
Fullstack Developer,Tech Company 139,Ho Chi Minh,26-58 millions,"React, Node.js, Mongo",Senior,2025-09-24
Backend Developer,Tech Company 185,Ha Noi,8-17 millions,"Python, Django",Fresher,2025-11-06
Mobile Developer,Tech Company 51,Ho Chi Minh,45-79 millions,React Native,Lead,2025-12-27
Frontend Developer,Tech Company 475,Ha Noi,42-81 millions,"VueJS, Nuxt",Lead,2025-07-28
AI/ML Engineer,Tech Company 178,Ho Chi Minh,,"Python, NLP, HuggingFace",Senior,2024-01-19
AI/ML Engineer,Tech Company 416,Ho Chi Minh,29-59 millions,"Python, TensorFlow, CV",Senior,2024-10-09
Mobile Developer,Tech Company 78,Ho Chi Minh,10-21 millions,"Flutter, Dart",Fresher,2024-08-18
Fullstack Developer,Tech Company 314,Ho Chi Minh,17-30 millions,"React, Node.js, Mongo",Junior,2025-11-25
Mobile Developer,Tech Company 466,Ha Noi,,React Native,Lead,2024-11-15
Fullstack Developer,Tech Company 410,Ho Chi Minh,28-57 millions,"React, Node.js, Mongo",Senior,2025-12-01
Fullstack Developer,Tech Company 336,Ho Chi Minh,18-32 millions,"Java, Angular, SQL",Junior,2024-05-28
DevOps Engineer,Tech Company 95,Da Nang,36-67 millions,"AWS, Docker, K8s",Lead,2024-05-01
Backend Developer,Tech Company 156,Da Nang,15-24 millions,"Go, Microservices",Junior,2025-02-25
AI/ML Engineer,Tech Company 14,Da Nang,14-23 millions,"Python, TensorFlow, CV",Junior,2024-07-08
AI/ML Engineer,Tech Company 119,Ha Noi,27-56 millions,"C++, CUDA, Computer Vision",Senior,2024-08-25
Tester/QA,Tech Company 333,Ho Chi Minh,27-58 millions,"Manual Testing, SQL",Senior,2025-12-30
Tester/QA,Tech Company 210,Da Nang,12-23 millions,"Automation, Cypress",Junior,2024-02-03
AI/ML Engineer,Tech Company 388,Ho Chi Minh,26-58 millions,"Python, NLP, HuggingFace",Senior,2024-07-26
Tester/QA,Tech Company 219,Ho Chi Minh,17-31 millions,"Automation, Cypress",Junior,2024-09-09
Mobile Developer,Tech Company 305,Ho Chi Minh,16-32 millions,"Swift, iOS",Junior,2025-08-08
Backend Developer,Tech Company 450,Ha Noi,27-59 millions,"Python, Django",Senior,2024-02-13
Mobile Developer,Tech Company 493,Ha Noi,66-112 millions,"Flutter, Dart",Manager,2025-10-07
Mobile Developer,Tech Company 217,Ho Chi Minh,9-17 millions,"Swift, iOS",Fresher,2024-06-19
Fullstack Developer,Tech Company 58,Da Nang,14-24 millions,"Java, Angular, SQL",Junior,2025-05-27
Fullstack Developer,Tech Company 233,Ha Noi,16-29 millions,"Java, Angular, SQL",Junior,2024-07-02
Data Scientist,Tech Company 465,Ha Noi,25-56 millions,"SQL, Tableau, Python",Senior,2025-10-26
Frontend Developer,Tech Company 44,Ho Chi Minh,25-57 millions,"ReactJS, TypeScript",Senior,2025-01-06
Fullstack Developer,Tech Company 468,Ho Chi Minh,27-55 millions,"Java, Angular, SQL",Senior,2024-06-23
Fullstack Developer,Tech Company 27,Da Nang,14-23 millions,"React, Node.js, Mongo",Junior,2025-12-30
Tester/QA,Tech Company 492,Ho Chi Minh,17-28 millions,"Java, Appium",Junior,2024-05-14
AI/ML Engineer,Tech Company 414,Ha Noi,16-31 millions,"Python, TensorFlow, CV",Junior,2025-07-10
Data Scientist,Tech Company 227,Da Nang,7-15 millions,"Python, Pandas, Scikit-learn",Fresher,2025-02-23
Data Scientist,Tech Company 26,Ha Noi,7-19 millions,"Python, PyTorch, AWS",Fresher,2024-07-31
DevOps Engineer,Tech Company 430,Ho Chi Minh,15-27 millions,"AWS, Docker, K8s",Junior,2025-08-14
Frontend Developer,Tech Company 345,Ho Chi Minh,25-59 millions,"ReactJS, TypeScript",Senior,2024-06-14
Fullstack Developer,Tech Company 48,Ha Noi,17-29 millions,"Java, Angular, SQL",Junior,2024-02-06
Mobile Developer,Tech Company 150,Ho Chi Minh,28-59 millions,"Flutter, Dart",Senior,2024-03-07
AI/ML Engineer,Tech Company 108,Ho Chi Minh,16-30 millions,"Python, NLP, HuggingFace",Junior,2025-12-13
Frontend Developer,Tech Company 148,Ho Chi Minh,28-58 millions,"HTML, CSS, JS",Senior,2025-12-24
AI/ML Engineer,Tech Company 315,Ha Noi,16-30 millions,"C++, CUDA, Computer Vision",Junior,2024-05-12
Tester/QA,Tech Company 363,Ha Noi,28-59 millions,"Automation, Cypress",Senior,2024-08-26
Frontend Developer,Tech Company 410,Ho Chi Minh,16-31 millions,"ReactJS, TypeScript",Junior,2024-07-31
Backend Developer,Tech Company 6,Ho Chi Minh,26-59 millions,"Go, Microservices",Senior,2024-08-05
AI/ML Engineer,Tech Company 393,Ha Noi,26-57 millions,"Python, TensorFlow, CV",Senior,2024-11-27
DevOps Engineer,Tech Company 427,Ha Noi,9-19 millions,"Azure, CI/CD, Terraform",Fresher,2024-01-30
DevOps Engineer,Tech Company 331,Ho Chi Minh,16-29 millions,"Linux, Jenkins, Ansible",Junior,2024-02-06
Tester/QA,Tech Company 428,Ho Chi Minh,8-20 millions,"Java, Appium",Fresher,2024-02-27
DevOps Engineer,Tech Company 170,Ha Noi,27-56 millions,"Linux, Jenkins, Ansible",Senior,2025-12-02
DevOps Engineer,Tech Company 174,Da Nang,24-46 millions,"AWS, Docker, K8s",Senior,2024-02-01
Fullstack Developer,Tech Company 443,Ha Noi,66-110 millions,"Python, VueJS, Docker",Manager,2024-04-29
DevOps Engineer,Tech Company 450,Ho Chi Minh,25-57 millions,"Linux, Jenkins, Ansible",Senior,2025-05-23
AI/ML Engineer,Tech Company 402,Ha Noi,16-28 millions,"Python, TensorFlow, CV",Junior,2025-01-18
Frontend Developer,Tech Company 79,Ho Chi Minh,8-20 millions,"HTML, CSS, JS",Fresher,2025-05-27
AI/ML Engineer,Tech Company 347,Da Nang,12-26 millions,"Python, NLP, HuggingFace",Junior,2025-06-12
Backend Developer,Tech Company 3,Ho Chi Minh,65-114 millions,"Node.js, Express",Manager,2024-04-28
Frontend Developer,Tech Company 393,Ho Chi Minh,16-27 millions,"Angular, RxJS",Junior,2025-06-17
AI/ML Engineer,Tech Company 147,Ho Chi Minh,29-56 millions,"C++, CUDA, Computer Vision",Senior,2024-07-16
Tester/QA,Tech Company 8,Ho Chi Minh,15-28 millions,"Selenium, Python",Junior,2024-04-27
Frontend Developer,Tech Company 73,Ha Noi,66-112 millions,"VueJS, Nuxt",Manager,2024-10-04
